feature,importance
subject_non_ascii_ratio,0.26237324
subject_non_ascii_count,0.23494393
subject_colon_count,0.094950795
sender_domain_length,0.074318886
subject_money_mentions,0.03176831
body_phone_count,0.02767499
subject_mixed_case_words,0.027476724
total_urls,0.022549994
subject_capital_ratio,0.022125777
body_url_char_ratio,0.022082316
body_email_count,0.019285401
subject_digit_count,0.017726382
body_non_ascii_ratio,0.017483408
body_money_mentions,0.01716419
body_hyphen_count,0.016450863
sender_length,0.016152114
subject_sentence_count,0.015687311
body_exclamation_count,0.013909347
body_colon_count,0.012931211
subject_all_caps_words,0.01251116
body_action_words,0.01168243
body_all_caps_words,0.008751199
